Year,Birth_year,City,SBD,maths,Literature,Physics,Chemistry,Biology,Eng
2018,2000,Da Nang,4005758,6.2,3.75,7,5,4.25,6.4
2018,2000,Da Nang,4005761,5.2,3.5,7,6,6.25,2.4
2018,2000,Da Nang,4005763,6.2,6,6,6.75,5.5,4
2018,2000,Da Nang,4005774,4.6,6,4.5,3.25,3,2.6
2018,2000,Da Nang,4005784,4,5.5,2.75,2.75,4,4.2
2018,2000,Da Nang,4005819,6,3.5,6.25,7.5,4,2.6
2018,2000,Da Nang,4005822,6.2,3.75,3.75,4.5,3.75,2.2
2018,2000,Da Nang,4005825,6.4,5.25,4.25,4,3.75,4.6
2018,2000,Da Nang,4008495,5.2,5.5,4.5,3,3,4.6
2018,2000,Da Nang,4008497,5.6,7,4.75,5.5,2.25,4.6
2018,2000,Da Nang,4008499,7.8,6,5.25,3.25,4.25,4.8
2018,2000,Da Nang,4008501,7,4,7.25,6.25,3.75,4.8
2018,2000,Da Nang,4008503,6.2,2.5,4,4.25,3.75,4
2018,2000,Da Nang,4008505,7.8,4,7.25,9,4,4
2018,2000,Da Nang,4007982,6.8,5,7.5,8.5,3.5,5.8
2018,2000,Da Nang,4007987,6,6.25,6,6.5,2.75,7.4
2018,2000,Da Nang,4007988,6.2,6.75,7.5,7.5,3,6.6
2018,2000,Da Nang,4007989,7.4,7,7,5.5,4,6.2
2018,2000,Da Nang,4007990,5.6,6,5.75,4.75,5.5,7.4
2018,2000,Da Nang,4008005,7.2,6,5.75,6.5,2,7.2
2018,2000,Da Nang,4008008,5.6,6,5.5,4.75,4.75,6.4
2018,2000,Da Nang,4008011,6.8,6.5,7.25,6,3.5,4.8
2018,2000,Da Nang,4008013,6.2,7.25,3.25,7.5,3.25,6.8
2018,2000,Da Nang,4008016,6,3.5,6.25,5.75,5.75,4.8
2018,2000,Da Nang,4008030,5,6,7.5,6,7.75,4.2
2018,2000,Da Nang,4007580,6,5,3.5,7.5,4.5,4.2
2018,2000,Da Nang,4007582,5.4,6.5,5.5,7.5,6,3.8
2018,2000,Da Nang,4007586,5.6,4.5,5.5,6.5,4.25,5.6
2018,2000,Da Nang,4007590,7,3.25,4.75,6.25,2.25,4.4
2018,2000,Da Nang,4007595,5.2,4.5,4.25,3.25,5.25,6
2018,2000,Da Nang,4007598,5.8,6.75,3.25,7.5,7.75,6
2018,2000,Da Nang,4008337,6.6,3.5,5.75,6.5,4,5.6
2018,2000,Da Nang,4008342,6.8,4.25,8.5,7.25,5.75,2
